gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4853974306	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:d6140ec4-0093-4612-8e30-a3fc6fd2d2ca	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	85 ft elevation	Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.280472	-75.050684							2023-07-07	7	7	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017881				CC0_1_0	Yale Peabody Museum	A Kasprowicz			2024-09-11T13:58:29.341Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4853974305	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:d319423c-88be-4615-b1c8-e944d38f582f	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	28.5 ft elevation	Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	39.966055	-75.195683							2024-03-19	19	3	2024	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017879				CC0_1_0	Yale Peabody Museum	A Kasprowicz			2024-09-11T13:58:27.543Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4853974304	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:6dd5f457-cdc2-45f8-b3fa-08f708a75531	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	85 ft elevation	Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.280472	-75.050684							2023-07-07	7	7	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017880				CC0_1_0	Yale Peabody Museum	R Clark			2024-09-11T13:58:32.037Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4853974303	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:70b4e521-6976-430d-822c-4563fd426327	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	Brooklyn - elevation 32 ft	New York	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.677163	-73.96745							2023-08-30	30	8	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017883				CC0_1_0	Yale Peabody Museum	S Giancarli			2024-09-11T13:58:33.548Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4853974302	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:3f3a9ff6-b612-4cd8-a551-9bcb8a5cfa2b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	28.5 ft elevation	Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	39.966055	-75.195683							2024-03-19	19	3	2024	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017878				CC0_1_0	Yale Peabody Museum	A Kasprowicz			2024-09-11T13:58:32.315Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4853974301	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:3211dc30-988b-49a7-89e4-57bb7bb6cf76	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US	85 ft elevation	Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.280472	-75.050684							2023-07-07	7	7	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017739				CC0_1_0	Yale Peabody Museum	S Giancarli			2024-09-11T13:58:28.754Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4845672301	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:1158af0e-18ae-4b04-8bd7-fa842c64dc1a	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US		Virginia	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	37.51751	-77.4774							2023-10-03	3	10	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017877				CC0_1_0	Yale Peabody Museum	R Clark			2024-09-11T13:58:28.041Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4599382371	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:965885f0-0771-4619-b6ce-47055279e957	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US		Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.376536	-75.237851							2022-08-04	4	8	2022	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017866				CC0_1_0	Yale Peabody Museum	M Balman			2024-09-11T13:58:34.254Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4599382370	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:f31b73b1-ef76-4536-b280-de6681cf277d	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US		New York	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.76109	-73.986678							2023-11-05	5	11	2023	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017827				CC0_1_0	Yale Peabody Museum	L Lacy			2024-09-11T13:58:27.810Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
4599382369	854f602e-f762-11e1-a439-00145eb45e9a	urn:uuid:162c107c-ccce-4ea6-a8ee-22294d338e29	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	domesticus	SUBSPECIES	Mus musculus domesticus Rutty, 1772	Mus musculus domesticus	Rutty, 1772	US		Pennsylvania	PRESENT	1	2e167bb0-4441-11db-9ba2-b8a03c50a862	40.280555	-75.049834							2022-08-09	9	8	2022	9559235	7429082	PRESERVED_SPECIMEN	YPM	VZ	YPM MAM 017812				CC0_1_0	Yale Peabody Museum	M Balman			2024-09-11T13:58:31.326Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY
