gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
859513196	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170071	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	Yonch'on		PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1953-07-29	29	7	1953	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170071	L530729-5			CC0_1_0		Jones; Barber		native	2024-04-29T10:40:02.517Z		
859513178	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170072	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	Kyangyang-ni		PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1954-06-24	24	6	1954	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170072	L540624-14			CC0_1_0		Jones; Barber		native	2024-04-29T10:40:06.729Z		
859487196	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170082	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	School (within a semi-circle of about 30-40 mi N o	Seoul	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1953-01-01	1	1	1953	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170082	L531111-14			CC0_1_0		R. Traub		native	2024-04-29T10:40:02.500Z		
859487191	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170081	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	School (within a semi-circle of about 30-40 mi N o	Seoul	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1953-01-01	1	1	1953	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170081	L531209-40			CC0_1_0		R. Traub		native	2024-04-29T10:40:06.729Z		
859487186	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170080	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	School (within a semi-circle of about 30-40 mi N o	Seoul	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1953-01-01	1	1	1953	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170080	L531209-39			CC0_1_0		R. Traub		native	2024-04-29T10:40:02.517Z		
859487181	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-170079	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		KR	School (within a semi-circle of about 30-40 mi N o	Seoul	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1953-01-01	1	1	1953	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-170079	L531209-60			CC0_1_0		R. Traub		native	2024-04-29T10:40:02.463Z		
859450281	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237515	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-28	28	12	1971	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237515	254			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.632Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450275	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237514	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-28	28	12	1971	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237514	253			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:03.075Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450269	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237513	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-08	8	12	1971	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237513	227			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.421Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859450264	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-237512	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	molossinus	SUBSPECIES	Mus musculus molossinus	Mus musculus molossinus		TH		Bangkok	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1971-12-07	7	12	1971	11775086	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-237512	224			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:02.978Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
