gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
859492694	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242217	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242217	101			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.036Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492218	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242223	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242223	726			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:07.555Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859480146	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-240103	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Clark Air Force Base	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862					1300.0	0.0			1966-01-21	21	1	1966	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-240103	215			CC0_1_0		S. Pantuwatana		native	2024-04-29T10:40:03.016Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859478088	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-240106	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH	Chao Phraya River	Thonburi	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1968-09-11	11	9	1968	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-240106	V3			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:07.687Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859478085	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-240105	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH	Chao Phraya River	Thonburi	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1968-09-11	11	9	1968	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-240105	V1			CC0_1_0		V. Ngorngnork		native	2024-04-29T10:40:03.104Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859478080	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-240104	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		TH	Chao Phraya River	Thonburi	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1966-10-27	27	10	1966	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-240104	6342			CC0_1_0		J. T. Marshall		native	2024-04-29T10:40:07.459Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859476705	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242704	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		LK			PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242704	138			CC0_1_0		E. C. Fernando		native	2024-04-29T10:40:07.582Z		
859470526	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-101529	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		ID	Cheribon	Java	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1931-05-06	6	5	1931	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-101529	62			CC0_1_0		J. J. Menden		native	2024-04-29T10:40:01.902Z		
859470416	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-101528	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		ID	Cheribon	Java	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1931-05-06	6	5	1931	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-101528	61			CC0_1_0		J. J. Menden		native	2024-04-29T10:40:05.502Z		
859470402	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-101525	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		ID	Cheribon	Java	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1931-05-02	2	5	1931	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-101525	60			CC0_1_0		J. J. Menden		native	2024-04-29T10:40:01.837Z		
